met,conc,conc_lb,conc_ub
10fthf[c],0.0473788223615925,0,0.1
12dgr120[c],0.0288211288283491,0,0.1
12dgr120[p],0.0473788223615925,0,0.1
12dgr140[c],0.00846515355047367,0,0.1
12dgr140[p],0.0473788223615925,0,0.1
12dgr141[c],0.00020055432811125,0,0.1
12dgr141[p],0.00260733617830443,0,0.1
12dgr160[c],0.0103109553440608,0,0.1
12dgr160[p],0.00184728553547587,0,0.1
12dgr161[c],0.0473788223615922,0,0.1
12dgr161[p],0.0141492210285791,0,0.1
12dgr180[c],0.000247004460625851,0,0.1
12dgr180[p],0.0473788223615925,0,0.1
12dgr181[c],0.0288211288283491,0,0.1
12dgr181[p],0.0473788223615925,0,0.1
12ppd-R[c],0.0047534049487699,0,0.1
12ppd-R[e],0.0526211776384076,0,0.1
12ppd-R[p],0.0473788223615925,0,0.1
12ppd-S[c],0.000455358101743495,0,0.1
12ppd-S[e],0.0111704318031609,0,0.1
12ppd-S[p],0.00158734661917994,0,0.1
13dpg[c],0.00240784044227134,0,0.1
14glucan[c],0.000260239096792394,0,0.1
14glucan[e],0.0473788223615924,0,0.1
14glucan[p],0.0288211288283491,0,0.1
15dap[c],0.0473788223615924,0,0.1
15dap[e],0.0473788223615924,0,0.1
15dap[p],0.0644345609835965,0,0.1
1agpe120[p],0.0295203238995385,0,0.1
1agpe140[p],0.0473788223615924,0,0.1
1agpe141[p],0.000558585285848854,0,0.1
1agpe160[p],0.0473788223615921,0,0.1
1agpe161[p],0.00148999404804112,0,0.1
1agpe180[p],0.0473788223615925,0,0.1
1agpe181[p],0.000651597842075237,0,0.1
1agpg120[p],0.0473788223615924,0,0.1
1agpg140[p],0.0473788223615925,0,0.1
1agpg141[p],0.0473788223615925,0,0.1
1agpg160[p],0.0473788223615925,0,0.1
1agpg161[p],0.0473788223615925,0,0.1
1agpg180[p],0.0473788223615925,0,0.1
1agpg181[p],0.0473788223615925,0,0.1
1ddecg3p[c],0.0473788223615925,0,0.1
1ddecg3p[p],0.000241046119243494,0,0.1
1hdec9eg3p[c],0.0473788223615925,0,0.1
1hdec9eg3p[p],0.000201615620742604,0,0.1
1hdecg3p[c],0.0167047422782476,0,0.1
1hdecg3p[p],0.0473788223615925,0,0.1
1odec11eg3p[c],0.0473788223615925,0,0.1
1odec11eg3p[p],0.00276436561362084,0,0.1
1odecg3p[c],0.0473788223615925,0,0.1
1odecg3p[p],0.00021673374372198,0,0.1
1pyr5c[c],0.00651581261472365,0,0.1
1tdec7eg3p[c],0.00443816482877883,0,0.1
1tdec7eg3p[p],0.0473788223615925,0,0.1
1tdecg3p[c],0.0281168800342022,0,0.1
1tdecg3p[p],0.0473788223615925,0,0.1
23camp[e],0.0177450299566452,0,0.1
23camp[p],0.0473788223615924,0,0.1
23ccmp[e],0.0473788223615924,0,0.1
23ccmp[p],0.0644345609835965,0,0.1
23cgmp[e],0.000269555668311132,0,0.1
23cgmp[p],0.00175930829082835,0,0.1
23cump[e],0.0473788223615924,0,0.1
23cump[p],0.0263596479177864,0,0.1
23dappa[c],0.00962518992463381,0,0.1
23dappa[e],0.0473788223615924,0,0.1
23dappa[p],0.0644345609835965,0,0.1
23ddhb[c],0.00146818476686258,0,0.1
23dhb[c],0.000140299303527659,0.000117,0.000164
23dhba[c],0.00197335564076172,0,0.1
23dhbzs[c],0.000566432291503615,0,0.1
23dhdp[c],0.000649000713552109,0,0.1
23dhmb[c],0.0473788223615924,0,0.1
23dhmp[c],0.0069091865992667,0,0.1
23doguln[c],0.000292937361984905,0,0.1
25aics[c],0.0375726582587763,0,0.1
25dkglcn[c],0.0473788223615925,0,0.1
25drapp[c],0.00318526927823486,0,0.1
26dap-LL[c],0.0473788223615924,0,0.1
26dap-M[c],0.0473788223615925,0,0.1
26dap-M[e],0.0473788223615925,0,0.1
26dap-M[p],0.00822892841828225,0,0.1
2agpe120[c],0.000481438428748415,0,0.1
2agpe120[p],0.0473788223615925,0,0.1
2agpe140[c],0.0262490484753302,0,0.1
2agpe140[p],0.00201687094823194,0,0.1
2agpe141[c],0.00308342852176499,0,0.1
2agpe141[p],0.0526211776384076,0,0.1
2agpe160[c],0.0473788223615925,0,0.1
2agpe160[p],0.0473788223615924,0,0.1
2agpe161[c],0.0335817986996202,0,0.1
2agpe161[p],0.000604362119876178,0,0.1
2agpe180[c],0.00125795655175111,0,0.1
2agpe180[p],0.000393689623917609,0,0.1
2agpe181[c],0.000492290707417568,0,0.1
2agpe181[p],0.0473788223615925,0,0.1
2agpg120[c],0.0526211776384079,0,0.1
2agpg120[p],0.000314560757536329,0,0.1
2agpg140[c],0.00209527696450606,0,0.1
2agpg140[p],0.0108014075643543,0,0.1
2agpg141[c],0.000612115871483993,0,0.1
2agpg141[p],0.0473788223615925,0,0.1
2agpg160[c],0.0473788223615925,0,0.1
2agpg160[p],0.00103050717709646,0,0.1
2agpg161[c],0.0473788223615924,0,0.1
2agpg161[p],0.0473788223615921,0,0.1
2agpg180[c],0.000880943975629284,0,0.1
2agpg180[p],0.0473788223615925,0,0.1
2agpg181[c],0.0473788223615925,0,0.1
2agpg181[p],0.000183481160409401,0,0.1
2ahbut[c],0.0473788223615925,0,0.1
2amsa[c],0.00201511288688374,0,0.1
2aobut[c],0.0473788223615925,0,0.1
2cpr5p[c],0.000690581290903613,0,0.1
2dda7p[c],0.0473788223615924,0,0.1
2ddecg3p[c],0.000184970576277935,0,0.1
2ddecg3p[p],0.0473788223615925,0,0.1
2ddg6p[c],0.0473788223615925,0,0.1
2ddglcn[c],0.000735353974134758,0,0.1
2ddglcn[e],0.0473788223615925,0,0.1
2ddglcn[p],0.0644345609835965,0,0.1
2dh3dgal6p[c],0.000332405604916062,0,0.1
2dh3dgal[c],0.0473788223615924,0,0.1
2dhglcn[c],0.0102867489077337,0,0.1
2dhguln[c],0.00116347793969172,0,0.1
2dhp[c],0.0473788223615924,0,0.1
2dmmq8[c],0.0473788223615925,0,0.1
2dmmql8[c],0.000466480613647759,0,0.1
2dr1p[c],0.0249610148590463,0,0.1
2dr5p[c],0.00104856106777965,4.82e-05,0.0019
2h3oppan[c],0.000550065421351229,0,0.1
2hdec9eg3p[c],0.0473788223615925,0,0.1
2hdec9eg3p[p],0.0473788223615924,0,0.1
2hdecg3p[c],0.00142762558636226,0,0.1
2hdecg3p[p],0.0473788223615925,0,0.1
2ippm[c],0.00105902162503517,0,0.1
2kmb[c],0.0140923348638435,0,0.1
2mahmp[c],0.00575365376478193,0,0.1
2mcacn[c],0.0473788223615924,0,0.1
2mcit[c],0.0473788223615924,0,0.1
2me4p[c],0.000282241695410773,0,0.1
2mecdp[c],0.0362667453779658,0,0.1
2obut[c],0.000942819383095447,0,0.1
2odec11eg3p[c],0.0473788223615925,0,0.1
2odec11eg3p[p],0.0132456437837688,0,0.1
2odecg3p[c],0.0473788223615925,0,0.1
2odecg3p[p],0.000850150223362772,0,0.1
2ohph[c],0.000265846341952182,0,0.1
2ombzl[c],0.0473788223615925,0,0.1
2omhmbl[c],0.00542707362709797,0,0.1
2ommbl[c],0.00425362505199093,0,0.1
2omph[c],0.000287775806519953,0,0.1
2oph[c],0.000807109488468615,0,0.1
2p4c2me[c],0.0473788223615924,0,0.1
2pg[c],0.0473788223615924,0,0.1
2pglyc[c],0.000397835467580193,0,0.1
2shchc[c],0.00028171979101331,0,0.1
2tdec7eg3p[c],0.0473788223615925,0,0.1
2tdec7eg3p[p],0.0280825362799068,0,0.1
2tdecg3p[c],0.000314211044559572,0,0.1
2tdecg3p[p],0.000883646164665896,0,0.1
2tpr3dpcoa[c],0.00132612325749186,0,0.1
34dhpac[e],0.0473788223615924,0,0.1
34dhpac[p],0.00839991303106286,0,0.1
34hpp[c],0.0473788223615924,0,0.1
3amp[e],0.000877020503380159,0,0.1
3amp[p],0.00577689627936675,0,0.1
3c2hmp[c],0.000256497219450539,0,0.1
3c3hmp[c],0.00125493345739438,0,0.1
3c4mop[c],0.0473788223615921,0,0.1
3cmp[e],0.00625684565822006,0,0.1
3cmp[p],0.0331239675142699,0,0.1
3dhguln[c],0.0473788223615925,0,0.1
3dhgulnp[c],0.0473788223615925,0,0.1
3dhq[c],0.000286207760669658,0,0.1
3dhsk[c],0.0166019106913154,0,0.1
3gmp[e],0.0106238920614695,0,0.1
3gmp[p],0.000441840288377493,0,0.1
3haACP[c],0.00021312356756841,0,0.1
3hbcoa[c],0.00126358419641448,0,0.1
3hcddec5eACP[c],0.0473788223615925,0,0.1
3hcinnm[c],0.0473788223615925,0,0.1
3hcinnm[e],0.0473788223615925,0,0.1
3hcinnm[p],0.00123800504045538,0,0.1
3hcmrs7eACP[c],0.0473788223615925,0,0.1
3hcpalm9eACP[c],0.0473788223615925,0,0.1
3hcvac11eACP[c],0.000721527396841934,0,0.1
3hdcoa[c],0.0473788223615925,0,0.1
3hddcoa[c],0.0473788223615925,0,0.1
3hddecACP[c],0.000227095542462169,0,0.1
3hdecACP[c],0.0473788223615925,0,0.1
3hhcoa[c],0.0473788223615924,0,0.1
3hhdcoa[c],0.0473788223615925,0,0.1
3hhexACP[c],0.000615931688544783,0,0.1
3hmrsACP[c],0.000257098364893501,0,0.1
3hocoa[c],0.0360511927368809,0,0.1
3hoctACP[c],0.0473788223615925,0,0.1
3hoctaACP[c],0.0473788223615925,0,0.1
3hodcoa[c],0.0473788223615925,0,0.1
3hpalmACP[c],0.0473788223615925,0,0.1
3hpppn[c],0.000210775206258364,0,0.1
3hpppn[e],0.0473788223615924,0,0.1
3hpppn[p],0.0644345609835965,0,0.1
3htdcoa[c],0.0473788223615925,0,0.1
3ig3p[c],0.0015645142354719,0,0.1
3mob[c],0.0473788223615925,0,0.1
3mop[c],0.00345936401723488,0,0.1
3ocddec5eACP[c],0.0473788223615925,0,0.1
3ocmrs7eACP[c],0.00103105779672097,0,0.1
3ocpalm9eACP[c],0.0473788223615921,0,0.1
3ocvac11eACP[c],0.0253944854006041,0,0.1
3odcoa[c],0.0537673697142234,0,0.1
3oddcoa[c],0.000404465933105861,0,0.1
3oddecACP[c],0.0473788223615924,0,0.1
3odecACP[c],0.000850599156810442,0,0.1
3ohcoa[c],0.0447684370319814,0,0.1
3ohdcoa[c],0.0473788223615925,0,0.1
3ohexACP[c],0.0526211776384075,0,0.1
3omrsACP[c],0.0473788223615925,0,0.1
3oocoa[c],0.000241055373324425,0,0.1
3ooctACP[c],0.00934882630860815,0,0.1
3ooctdACP[c],0.00226698220142082,0,0.1
3oodcoa[c],0.0473788223615925,0,0.1
3opalmACP[c],0.000268391633765505,0,0.1
3ophb[c],0.000244073491998265,0,0.1
3otdcoa[c],0.00366515634993402,0,0.1
3pg[c],0.00154343804384576,0.00151,0.00158
3php[c],0.0473788223615925,0,0.1
3psme[c],0.000373738352249065,0,0.1
3sala[c],0.0473788223615925,0,0.1
3ump[e],0.0117128386140363,0,0.1
3ump[p],0.0143879689041722,0,0.1
4abut[c],0.000581990196382463,0,0.1
4abut[e],0.0473788223615925,0,0.1
4abut[p],0.0644345609835965,0,0.1
4abutn[c],0.000464676564345753,0,0.1
4abz[c],0.000936687467191511,0,0.1
4adcho[c],0.0473788223615924,0,0.1
4ahmmp[c],0.0473788223615924,0,0.1
4ampm[c],0.00269247170877027,0,0.1
4c2me[c],0.0473788223615925,0,0.1
4h2opntn[c],0.0473788223615925,0,0.1
4hba[c],0.0473788223615925,0,0.1
4hbz[c],5.28769919510732e-05,4.43e-05,6.15e-05
4hoxpacd[e],0.0473788223615925,0,0.1
4hoxpacd[p],0.0163540706898538,0,0.1
4hthr[c],0.00872703330672669,0,0.1
4mhetz[c],0.0473788223615925,0,0.1
4mop[c],0.00465674320680823,0,0.1
4mpetz[c],0.000459021934307661,0,0.1
4pasp[c],0.000244429556914172,0,0.1
4per[c],0.0473788223615921,0,0.1
4ppan[c],0.0473788223615924,0,0.1
4ppcys[c],0.000308991305433675,0,0.1
4r5au[c],0.0473788223615925,0,0.1
5aizc[c],0.0633612521340658,0,0.1
5aop[c],0.0473788223615924,0,0.1
5aprbu[c],0.0275135465452072,0,0.1
5apru[c],0.00120022501033807,0,0.1
5caiz[c],0.0473788223615925,0,0.1
5dglcn[c],0.0473788223615925,0,0.1
5dglcn[e],0.0473788223615925,0,0.1
5dglcn[p],0.0644345609835965,0,0.1
5dh4dglc[c],0.036724318483799,0,0.1
5drib[c],0.000628883631221092,0,0.1
5mdr1p[c],0.0164392647794471,0,0.1
5mdru1p[c],0.0239878534869595,0,0.1
5mta[c],0.000573245910146189,0,0.1
5mthf[c],0.0134844903046473,0,0.1
5mtr[c],0.00128230885273915,0,0.1
5prdmbz[c],0.000317370931296247,0,0.1
6hmhpt[c],0.00273929667555177,0,0.1
6hmhptpp[c],0.00079360590245609,0,0.1
6pgc[c],0.00376997522999399,0.00369,0.00385
6pgl[c],0.000472052622259395,0,0.1
8aonn[c],0.000508897370460945,0,0.1
ACP[c],0.0526211776384075,0,0.1
LalaDgluMdapDala[c],0.0473788223615925,0,0.1
LalaDgluMdapDala[e],0.0473788223615924,0,0.1
LalaDgluMdapDala[p],0.0288211288283489,0,0.1
LalaDgluMdap[c],0.00594703458912213,0,0.1
LalaDgluMdap[e],0.0473788223615925,0,0.1
LalaDgluMdap[p],0.0644345609835965,0,0.1
LalaDglu[c],0.00130670791862839,0,0.1
LalaLglu[c],0.00181844671084596,0,0.1
N1aspmd[c],0.0473788223615925,0,0.1
Nmtrp[c],0.00147428417289692,0,0.1
Sfglutth[c],0.0473788223615925,0,0.1
aacald[c],0.00121776174821364,0,0.1
aacoa[c],2.47036246126288e-05,1.37e-05,3.47e-05
aact[c],0.0473788223615925,0,0.1
acACP[c],0.0473788223615925,0,0.1
ac[c],0.0473788223615925,0,0.1
ac[e],0.0002104200749733,0,0.1
ac[p],0.00235322885941586,0,0.1
acac[c],0.00174533101191116,0,0.1
acac[e],0.000516542149842041,0,0.1
acac[p],0.000308427023219752,0,0.1
acald[c],0.0473788223615924,0,0.1
acald[e],0.0473788223615925,0,0.1
acald[p],0.000509692325074709,0,0.1
acanth[c],0.0473788223615925,0,0.1
accoa[c],0.000612123758578871,0.000529,0.000694
acetol[c],0.000225082845399047,0,0.1
acg5p[c],0.00530675290432909,0,0.1
acg5sa[c],0.0473788223615924,0,0.1
acgal1p[e],0.00176650609015048,0,0.1
acgal1p[p],0.0473788223615924,0,0.1
acgal[e],0.0473788223615924,0,0.1
acgal[p],0.0644345609835965,0,0.1
acgam1p[c],8.24602205839595e-05,7.25e-05,9.26e-05
acgam1p[e],8.24602205839595e-05,7.25e-05,9.26e-05
acgam1p[p],8.24402668414461e-05,7.25e-05,9.26e-05
acgam6p[c],0.0473788223615925,0,0.1
acgam[c],0.00629776199810313,0,0.1
acgam[e],0.00242630593149651,0,0.1
acgam[p],0.00218513338354815,0,0.1
acglc-D[c],0.00152425074151889,0,0.1
acglu[c],0.0473788223615925,0,0.1
acmalt[c],0.000395680052502336,0,0.1
acmana[c],0.000255001762030282,0,0.1
acmana[e],0.0473788223615925,0,0.1
acmana[p],0.0644345609835965,0,0.1
acmanap[c],0.000909422037506809,0,0.1
acmum6p[c],0.0110269066285431,0,0.1
acmum[e],0.0473788223615924,0,0.1
acmum[p],0.0018913398224571,0,0.1
acnam[c],0.00222409003198756,0,0.1
acnam[e],0.0473788223615925,0,0.1
acnam[p],0.0644345609835965,0,0.1
acolipa[e],0.000239473754556525,0,0.1
acolipa[p],0.0473788223615925,0,0.1
acon-C[c],1.62922922763709e-05,1.38e-05,1.88e-05
acon-T[c],0.0473788223615921,0,0.1
aconm[c],0.0473788223615921,0,0.1
acorn[c],4.91772533174748e-05,2.71e-05,6.94e-05
acser[c],0.00106226916998408,0,0.1
acser[e],0.00177488075176504,0,0.1
acser[p],0.0256633575040877,0,0.1
actACP[c],0.000666215338798294,0,0.1
actp[c],0.00107347441741128,0.00102,0.00113
ade[c],1.48072876223853e-06,1.26e-06,1.71e-06
ade[e],1.40218283093342e-06,1.26e-06,1.71e-06
ade[p],1.48260468055775e-06,1.26e-06,1.71e-06
adn[c],1.36047258146917e-07,9.44e-08,1.82e-07
adn[e],1.35994616983337e-07,9.44e-08,1.82e-07
adn[p],1.35994630775689e-07,9.44e-08,1.82e-07
adocbi[c],0.000455502422160765,0,0.1
adocbip[c],0.000574554790265845,0,0.1
adocbl[c],0.0473788223615925,0,0.1
adocbl[e],0.00155473181116014,0,0.1
adocbl[p],0.0473788223615924,0,0.1
adp[c],0.000571806031167769,0.000437,0.000704
adpglc[c],4.71193749171025e-06,2.83e-06,6.44e-06
adphep-DD[c],0.0473788223615925,0,0.1
adphep-LD[c],0.000707356814757359,0,0.1
adprib[c],0.0473788223615925,0,0.1
ag[c],0.000267462639940892,0,0.1
ag[e],0.0473788223615925,0,0.1
agdpcbi[c],0.0553270686733744,0,0.1
agm[c],0.00980133330237348,0,0.1
agm[e],0.0473788223615925,0,0.1
agm[p],0.0644345609836207,0,0.1
ahcys[c],0.000373297784853142,0,0.1
ahdt[c],0.0473788223615925,0,0.1
aicar[c],0.0473788223615925,0,0.1
air[c],0.0473788223615925,0,0.1
akg[c],0.000315125675782087,0.000312,0.000631
akg[e],0.000465251569901855,0.000312,0.000631
akg[p],0.00047570337396805,0.000312,0.000631
ala-B[c],0.000955525965982434,0,0.1
ala-B[e],0.0001925189583182,0,0.1
ala-B[p],0.00682443496735106,0,0.1
ala-D[c],0.00536042238686257,0,0.1
ala-D[e],0.00732356271697196,0,0.1
ala-D[p],0.0473788223615925,0,0.1
ala-L[c],0.00236805683577778,0.00232,0.0028
ala-L[e],0.00246629588179139,0.00232,0.0028
ala-L[p],0.00252597747304518,0.00232,0.0028
alaala[c],0.00164510614741576,0,0.1
alaala[e],0.00217226612075571,0,0.1
alaala[p],0.000246165740483272,0,0.1
alac-S[c],0.0187655187284211,0,0.1
alatrna[c],0.0473788223615925,0,0.1
all6p[c],0.0473788223615925,0,0.1
all-D[c],0.0473788223615925,0,0.1
all-D[e],0.0473788223615925,0,0.1
all-D[p],0.000519085882535384,0,0.1
alltn[c],0.0473788223615924,0,0.1
alltn[e],0.000191414703961002,0,0.1
alltn[p],0.0473788223615924,0,0.1
alltt[c],0.00134073654225272,0,0.1
allul6p[c],0.0473788223615924,0,0.1
alpp[p],0.001981832938818,0,0.1
altrn[c],0.0473788223615924,0,0.1
amet[c],0.00020498801567893,0.000119,0.000284
ametam[c],0.0473788223615925,0,0.1
amob[c],0.0473788223615925,0,0.1
amp[c],0.000283788791461054,0.000232,0.000341
amp[e],0.000286555170668583,0.000232,0.000341
amp[p],0.000285957045819892,0.000232,0.000341
anhgm3p[c],0.000918488806755812,0,0.1
anhgm3p[p],0.00312565207831978,0,0.1
anhgm4p[c],0.0473788223615925,0,0.1
anhgm4p[p],0.0473788223615924,0,0.1
anhgm[c],0.0473788223615924,0,0.1
anhgm[e],0.0063266820474879,0,0.1
anhgm[p],0.0473788223615924,0,0.1
anhm3p[c],0.0473788223615925,0,0.1
anhm4p[c],0.000251993974754279,0,0.1
anhm[c],0.0231177314474658,0,0.1
anth[c],3.47694376329573e-06,3.34e-06,3.62e-06
ap4a[c],0.0473788223615924,0,0.1
ap5a[c],0.0473788223615924,0,0.1
apg120[c],0.0473788223615925,0,0.1
apg140[c],0.00983642628761712,0,0.1
apg141[c],0.000643194621602269,0,0.1
apg160[c],0.028821128828344,0,0.1
apg161[c],0.00274076100169381,0,0.1
apg180[c],0.0473788223615924,0,0.1
apg181[c],0.028821128828344,0,0.1
apoACP[c],0.00442008142795231,0,0.1
aps[c],6.88993115371214e-06,5.1e-06,8.62e-06
ara5p[c],0.00360324630291741,0,0.1
arab-L[c],0.00121506784991424,0,0.1
arab-L[e],0.0473788223615925,0,0.1
arab-L[p],0.0135390336667333,0,0.1
aragund[c],0.000568494284229299,0,0.1
arbt6p[c],0.000584905928208369,0,0.1
arbtn-fe3[c],0.0473788223615925,0,0.1
arbtn-fe3[e],0.00146062873914095,0,0.1
arbtn-fe3[p],0.000263984771719635,0,0.1
arbtn[c],0.0526211776384076,0,0.1
arbtn[e],0.0473788223615925,0,0.1
arbtn[p],0.0473788223615924,0,0.1
arg-L[c],0.000535809702106418,0.000479,0.000675
arg-L[e],0.000540890853994881,0.000479,0.000675
arg-L[p],0.000576988829882748,0.000479,0.000675
argsuc[c],0.0473788223615925,0,0.1
argtrna[c],0.0081330120899183,0,0.1
ascb6p[c],0.0473788223615925,0,0.1
ascb-L[e],0.00203633809975278,0,0.1
ascb-L[p],0.000841588777961337,0,0.1
asn-L[c],0.000509767715421598,0.000442,0.000592
asn-L[e],0.000516159473102954,0.000442,0.000592
asn-L[p],0.000516317979407311,0.000442,0.000592
asntrna[c],0.00887877959699412,0,0.1
aso3[c],0.0473788223615925,0,0.1
aso3[e],0.0473788223615924,0,0.1
aso3[p],0.0119303780131423,0,0.1
aso4[c],0.0473788223615924,0,0.1
asp-L[c],0.00368478927162306,0.00356,0.00504
asp-L[e],0.00423226074425166,0.00356,0.00504
asp-L[p],0.00420800434799126,0.00356,0.00504
aspsa[c],0.000831038226274721,0,0.1
asptrna[c],0.0473788223615925,0,0.1
athr-L[c],0.0473788223615924,0,0.1
atp[c],0.0094645289380321,0.00813,0.0114
b2coa[c],0.000262809207831731,0,0.1
bbtcoa[c],0.0173616954027672,0,0.1
betald[c],0.0473788223615925,0,0.1
bglycogen[c],0.0473788223615924,0,0.1
btal[c],0.000905566463937009,0,0.1
btcoa[c],0.0184061369805241,0,0.1
btn[c],0.0473788223615925,0,0.1
btnso[c],0.00124443392377128,0,0.1
but2eACP[c],0.0019280266373444,0,0.1
butACP[c],0.0473788223615921,0,0.1
but[c],0.000257798005137715,0,0.1
but[e],0.0010368308109187,0,0.1
but[p],0.0473788223615921,0,0.1
butso3[c],0.00356918899130338,0,0.1
butso3[e],0.000747695009247062,0,0.1
butso3[p],0.000776100431549819,0,0.1
ca2[c],0.000220497588923558,0,0.1
ca2[e],0.00689867597146915,0,0.1
ca2[p],0.0138501520609317,0,0.1
camp[c],3.59644932949272e-05,2.82e-05,4.39e-05
cbasp[c],0.000661852741066197,0.000364,0.000955
cbi[c],0.0526211776384076,0,0.1
cbi[e],0.000250647177313444,0,0.1
cbi[p],0.000373777916890911,0,0.1
cbl1[c],0.00116623211910946,0,0.1
cbl1[e],0.0473788223615924,0,0.1
cbl1[p],0.0473788223615925,0,0.1
cbp[c],0.00670596322646525,0,0.1
cd2[c],0.0190612705815541,0,0.1
cd2[e],0.00332257383338209,0,0.1
cd2[p],0.000671417346089125,0,0.1
cddec5eACP[c],0.00208440262706814,0,0.1
cdec3eACP[c],0.028821128828344,0,0.1
cdp[c],0.0473788223615925,0,0.1
cdpdddecg[c],0.000784073429293321,0,0.1
cdpdhdec9eg[c],0.0473788223615925,0,0.1
cdpdhdecg[c],0.000235737366919768,0,0.1
cdpdodec11eg[c],0.0472680846666915,0,0.1
cdpdodecg[c],0.00847178056670795,0,0.1
cdpdtdec7eg[c],0.0473788223615924,0,0.1
cdpdtdecg[c],0.0473788223615924,0,0.1
cechddd[c],0.00234569238945535,0,0.1
cenchddd[c],0.000430377490554638,0,0.1
cgly[c],0.000681290259445068,0,0.1
cgly[e],0.000774878895501173,0,0.1
cgly[p],0.0473788223615925,0,0.1
chol[c],0.0473788223615924,0,0.1
chol[e],0.0473788223615925,0,0.1
chol[p],0.0288211288283622,0,0.1
chor[c],0.000188600177327051,0,0.1
cinnm[c],0.0473788223615925,0,0.1
cit[c],0.00220164728090734,0.0011,0.00348
cit[e],0.0014425139040154,0.0011,0.00348
cit[p],0.00153075601571884,0.0011,0.00348
citr-L[c],0.0013540905693719,0.00123,0.00148
ckdo[c],0.00252633009684883,0,0.1
cl[c],0.00279890606131791,0,0.1
cl[e],0.00497439993120991,0,0.1
cl[p],0.000256100154769104,0,0.1
clpn120[p],0.000253425122400551,0,0.1
clpn140[p],0.0473788223615924,0,0.1
clpn141[p],0.000579355831993654,0,0.1
clpn160[p],0.0473788223615925,0,0.1
clpn161[p],0.0473788223615924,0,0.1
clpn180[p],0.0108691504009844,0,0.1
clpn181[p],0.0473788223615925,0,0.1
cmp[c],0.000418691252229581,0.000187,0.000694
cmp[e],0.00044948416441354,0.000187,0.000694
cmp[p],0.000455712651293258,0.000187,0.000694
co2[c],6.28068e-05,5.0245e-05,7.5368e-05
co2[e],0.0473788223615925,0,0.1
co2[p],0.000614995027946238,0,0.1
coa[c],8.85099585889109e-05,8.83e-05,0.0212
cobalt2[c],0.000941136330000144,0,0.1
cobalt2[e],0.00078135499157983,0,0.1
cobalt2[p],0.00627391347284764,0,0.1
colipa[c],0.000263702474491604,0,0.1
colipa[e],0.0473788223615921,0,0.1
colipa[p],0.00824062859610121,0,0.1
cpe160[c],0.00477482370995632,0,0.1
cpe180[c],0.00149381962352375,0,0.1
cpg160[c],0.0473788223615925,0,0.1
cpg180[c],0.000399499779045418,0,0.1
cpgn-un[c],0.0473788223615925,0,0.1
cpgn-un[e],0.0473788223615925,0,0.1
cpgn-un[p],0.0473788223615925,0,0.1
cpgn[c],0.0473788223615924,0,0.1
cpgn[e],0.0473788223615924,0,0.1
cpgn[p],0.00313948267362196,0,0.1
cpppg3[c],0.00257011730212346,0,0.1
crnDcoa[c],0.000418842051654498,0,0.1
crn-D[c],0.00116851905279594,0,0.1
