KEGG,BIGG
C00234,10fthf_c
C00234,10fthf_e
C00234,10fthf_h
C00234,10fthf_m
C00234,10fthf_l
C00234,10fthf_x
C02912,12ppd__R_p
C02912,12ppd__R_c
C02912,12ppd__R_e
C02917,12ppd__S_p
C02917,12ppd__S_c
C02917,12ppd__S_e
C00236,13dpg_h
C00236,13dpg_c
C00236,13dpg_m
C00236,13dpg_f
C01672,15dap_p
C01672,15dap_c
C01672,15dap_e
C03912;C04322,1pyr5c_c;1pyr5c_c
C03912;C04322,1pyr5c_m;1pyr5c_m
C03401;C06393,23dappa_p;23dappa_p
C03401;C06393,23dappa_c;23dappa_c
C03401;C06393,23dappa_e;23dappa_e
C04171,23ddhb_c
C00196,23dhb_c
C04030,23dhba_c
C03340,23dhdp_c
C04272,23dhmb_h
C04272,23dhmb_c
C04272,23dhmb_m
C04104;C06007,23dhmp_h;23dhmp_h
C04104;C06007,23dhmp_c;23dhmp_c
C04104;C06007,23dhmp_m;23dhmp_m
C04575,23doguln_c
C04823,25aics_h
C04823,25aics_c
C02780,25dkglcn_c
C01304,25drapp_c
C00666,26dap_LL_c
C00680,26dap__M_p
C00680,26dap__M_c
C00680,26dap__M_e
C00659;C06006,2ahbut_h;2ahbut_h
C00659;C06006,2ahbut_c;2ahbut_c
C00659;C06006,2ahbut_m;2ahbut_m
C11822,2amsa_c
C03214;C03508,2aobut_x;2aobut_x
C03214;C03508,2aobut_c;2aobut_c
C03214;C03508,2aobut_m;2aobut_m
C01302,2cpr5p_h
C01302,2cpr5p_c
C04691,2dda7p_h
C04691,2dda7p_c
C04691,2dda7p_m
C04442,2ddg6p_c
C00204,2ddglcn_p
C00204,2ddglcn_c
C00204,2ddglcn_e
C01216,2dh3dgal_c
C01286,2dh3dgal6p_c
C00966,2dhp_c
C00966,2dhp_m
C00966,2dhp_n
C00672,2dr1p_c
C00673,2dr5p_c
C01146,2h3oppan_c
C01146,2h3oppan_m
C02631,2ippm_c
C04752,2mahmp_c
C04225,2mcacn_c
C02225,2mcit_m
C02225,2mcit_c
C02225,2mcit_e
C11434,2me4p_h
C11434,2me4p_c
C11453,2mecdp_h
C11453,2mecdp_c
C00109,2obut_p
C00109,2obut_c
C00109,2obut_e
C00109,2obut_m
C00109,2obut_h
C05811,2ohph_c
C05812,2omph_c
C05810,2oph_c
C19975,2oxpaccoa_c
C11436,2p4c2me_c
C00631,2pg_c
C00631,2pg_e
C00631,2pg_f
C00631,2pg_h
C00631,2pg_m
C00631,2pg_p
C00988,2pglyc_x
C00988,2pglyc_c
C00988,2pglyc_e
C00988,2pglyc_h
C16519,2sephchc_c
C05817,2shchc_c
C19771,2tpr3dpcoa_c
C00942,35cgmp_c
C00942,35cgmp_e
C00942,35cgmp_g
C00942,35cgmp_n
C04411,3c2hmp_c
C02504,3c3hmp_m
C02504,3c3hmp_c
C02504,3c3hmp_e
C02504,3c3hmp_h
C04236,3c4mop_c
C04236,3c4mop_m
C00618,3dhguln_c
C14899,3dhgulnp_c
C00944,3dhq_h
C00944,3dhq_c
C02637,3dhsk_h
C02637,3dhsk_c
C01271,3haACP_c
C14145,3hadpcoa_c
C01144,3hbcoa_x
C01144,3hbcoa_c
C01144,3hbcoa_m
C12621,3hcinnm_p
C12621,3hcinnm_c
C12621,3hcinnm_e
C05264,3hdcoa_x
C05264,3hdcoa_c
C05264,3hdcoa_m
C05262,3hddcoa_x
C05262,3hddcoa_c
C05262,3hddcoa_m
C05757,3hddecACP_h
C05757,3hddecACP_c
C04619,3hdecACP_h
C04619,3hdecACP_c
C05268,3hhcoa_x
C05268,3hhcoa_c
C05268,3hhcoa_m
C05258,3hhdcoa_x
C05258,3hhdcoa_c
C05258,3hhdcoa_m
C05747,3hhexACP_h
C05747,3hhexACP_c
C04688,3hmrsACP_h
C04688,3hmrsACP_c
C05266,3hocoa_x
C05266,3hocoa_c
C05266,3hocoa_m
C04620,3hoctACP_h
C04620,3hoctACP_c
C16220,3hoctaACP_h
C16220,3hoctaACP_c
C16217,3hodcoa_x
C16217,3hodcoa_c
C04633,3hpalmACP_h
C04633,3hpalmACP_c
C01013,3hpp_p
C01013,3hpp_c
C01013,3hpp_e
C11457,3hpppn_p
C11457,3hpppn_c
C11457,3hpppn_e
C05260,3htdcoa_x
C05260,3htdcoa_c
C05260,3htdcoa_m
C03506,3ig3p_h
C03506,3ig3p_c
C00141,3mob_h
C00141,3mob_c
C00141,3mob_m
C00671;C03465;C06008,3mop_m;3mop_m;3mop_m
C00671;C03465;C06008,3mop_c;3mop_c;3mop_c
C00671;C03465;C06008,3mop_e;3mop_e;3mop_e
C00671;C03465;C06008,3mop_h;3mop_h;3mop_h
C05265,3odcoa_x
C05265,3odcoa_c
C05265,3odcoa_m
C05263,3oddcoa_x
C05263,3oddcoa_c
C05263,3oddcoa_m
C05756,3oddecACP_h
C05756,3oddecACP_c
C05753,3odecACP_h
C05753,3odecACP_c
C05269,3ohcoa_x
C05269,3ohcoa_c
C05269,3ohcoa_m
C05259,3ohdcoa_x
C05259,3ohdcoa_c
C05259,3ohdcoa_m
C05746,3ohexACP_h
C05746,3ohexACP_c
C05759,3omrsACP_h
C05759,3omrsACP_c
C05267,3oocoa_x
C05267,3oocoa_c
C05267,3oocoa_m
C05750,3ooctACP_h
C05750,3ooctACP_c
C16216,3oodcoa_c
C05762,3opalmACP_h
C05762,3opalmACP_c
C05809,3ophb_c
C05261,3otdcoa_x
C05261,3otdcoa_c
C05261,3otdcoa_m
C19945,3oxdhscoa_c
C00197;C00597,3pg_c;3pg_c
C00197;C00597,3pg_e;3pg_e
C00197;C00597,3pg_f;3pg_f
C00197;C00597,3pg_h;3pg_h
C00197;C00597,3pg_m;3pg_m
C00197;C00597,3pg_p;3pg_p
C00197;C00597,3pg_x;3pg_x
C03232,3php_h
C03232,3php_c
C01269,3psme_h
C01269,3psme_c
C00606,3sala_h
C00606,3sala_c
C00606,3sala_m
C00334,4abut_c
C00334,4abut_e
C00334,4abut_h
C00334,4abut_m
C00334,4abut_l
C00334,4abut_p
C00555,4abutn_h
C00555,4abutn_c
C00555,4abutn_m
C00568,4abz_m
C00568,4abz_c
C00568,4abz_e
C11355,4adcho_c
C01279,4ahmmp_c
C04556,4ampm_c
C11435,4c2me_h
C11435,4c2me_c
C01468,4crsol_p
C01468,4crsol_c
C01468,4crsol_e
C03589,4h2opntn_c
C00156,4hbz_p
C00156,4hbz_c
C00156,4hbz_e
C00156,4hbz_m
C06056,4hthr_p
C06056,4hthr_c
C06056,4hthr_e
C04294,4mhetz_c
C00233,4mop_h
C00233,4mop_c
C00233,4mop_m
C04327,4mpetz_c
C03082,4pasp_h
C03082,4pasp_c
C03393,4per_c
C03492,4ppan_c
C03492,4ppan_m
C04352,4ppcys_c
C04732,4r5au_h
C04732,4r5au_c
C00429,56dura_c
C04751,5aizc_h
C04751,5aizc_c
C00430,5aop_m
C00430,5aop_c
C00430,5aop_e
C00430,5aop_h
C04454,5aprbu_h
C04454,5aprbu_c
C01268,5apru_h
C01268,5apru_c
C15667,5caiz_c
C01062,5dglcn_p
C01062,5dglcn_c
C01062,5dglcn_e
C00679,5dh4dglc_c
C03479,5fthf_m
C03479,5fthf_c
C03479,5fthf_e
C00170,5mta_h
C00170,5mta_c
C00170,5mta_m
C00440,5mthf_m
C00440,5mthf_c
C00440,5mthf_e
C03089,5mtr_p
C03089,5mtr_c
C03089,5mtr_e
C04778,5prdmbz_c
C01300,6hmhpt_c
C04807,6hmhptpp_c
C00345,6pgc_h
C00345,6pgc_c
C00345,6pgc_r
C00345,6pgc_e
C01236,6pgl_h
C01236,6pgl_c
C01236,6pgl_r
C01092,8aonn_c
C01092,8aonn_e
C00145;C00229;C00812;C01336;C04298;C11482;C16736,ACP_h;ACP_h;ACP_h;ACP_h;ACP_h;ACP_h;ACP_h
C00145;C00229;C00812;C01336;C04298;C11482;C16736,ACP_c;ACP_c;ACP_c;ACP_c;ACP_c;ACP_c;ACP_c
C00145;C00229;C00812;C01336;C04298;C11482;C16736,ACP_m;ACP_m;ACP_m;ACP_m;ACP_m;ACP_m;ACP_m
C20957,LalaDglu_p
C20957,LalaDglu_c
C20957,LalaDglu_e
C20958,LalaLglu_p
C20958,LalaLglu_c
C20958,LalaLglu_e
C00612,N1aspmd_c
C01031,Sfglutth_c
C06735,aacald_c
C00332,aacoa_x
C00332,aacoa_c
C00332,aacoa_m
C01888,aact_x
C01888,aact_c
C01888,aact_m
C00033,ac_c
C00033,ac_e
C00033,ac_g
C00033,ac_h
C00033,ac_m
C00033,ac_p
C00033,ac_s
C00033,ac_x
C03939,acACP_h
C03939,acACP_c
C03939,acACP_m
C00164,acac_p
C00164,acac_c
C00164,acac_e
C00164,acac_m
C00164,acac_x
C00084,acald_c
C00084,acald_e
C00084,acald_h
C00084,acald_m
C00084,acald_p
C00084,acald_r
C00084,acald_x
C06332,acanth_c
C00024,accoa_c
C00024,accoa_g
C00024,accoa_h
C00024,accoa_m
C00024,accoa_n
C00024,accoa_s
C00024,accoa_r
C00024,accoa_x
C05235,acetol_c
C04133,acg5p_c
C04133,acg5p_m
C01250,acg5sa_c
C01250,acg5sa_m
C00140,acgam_p
C00140,acgam_c
C00140,acgam_e
C00140,acgam_l
C04256;C04501,acgam1p_p;acgam1p_p
C04256;C04501,acgam1p_c;acgam1p_c
C04256;C04501,acgam1p_e;acgam1p_e
C00357,acgam6p_c
C02655,acglc__D_c
C00624,acglu_c
C00624,acglu_m
C02130,acmalt_c
C00645;C02711;C03136,acmana_p;acmana_p;acmana_p
C00645;C02711;C03136,acmana_c;acmana_c;acmana_c
C00645;C02711;C03136,acmana_e;acmana_e;acmana_e
C04257,acmanap_c
C16698,acmum6p_c
C00270;C19910,acnam_p;acnam_p
C00270;C19910,acnam_c;acnam_c
C00270;C19910,acnam_e;acnam_e
C00270;C19910,acnam_l;acnam_l
C00270;C19910,acnam_n;acnam_n
C00417,acon_C_p
C00417,acon_C_c
C00417,acon_C_e
C02341,acon_T_c
C11514,aconm_c
C00437,acorn_c
C00437,acorn_m
C00979,acser_p
C00979,acser_c
C00979,acser_e
C00979,acser_m
C00979,acser_h
C05744,actACP_h
C05744,actACP_c
C00227,actp_h
C00227,actp_c
C00227,actp_m
C00147,ade_p
C00147,ade_c
C00147,ade_e
C00147,ade_m
C00147,ade_l
C00212,adn_p
C00212,adn_c
C00212,adn_e
C00212,adn_m
C00212,adn_l
C06508,adocbi_c
C06509,adocbip_c
C00194,adocbl_p
C00194,adocbl_c
C00194,adocbl_e
C00194,adocbl_m
C00008,adp_c
C00008,adp_e
C00008,adp_g
C00008,adp_f
C00008,adp_h
C00008,adp_m
C00008,adp_n
C00008,adp_r
C00008,adp_v
C00008,adp_x
C00498,adpglc_h
C00498,adpglc_c
C06397,adphep_DD_c
C06398,adphep_LD_c
C00301;C01882,adprib_m;adprib_m
C00301;C01882,adprib_c;adprib_c
C00301;C01882,adprib_e;adprib_e
C06710,ag_c
C06710,ag_e
C06510,agdpcbi_c
C00179,agm_p
C00179,agm_c
C00179,agm_e
C00179,agm_m
C00179,agm_n
C00021,ahcys_c
C00021,ahcys_g
C00021,ahcys_h
C00021,ahcys_m
C00021,ahcys_n
C00021,ahcys_r
C04895,ahdt_c
C04895,ahdt_n
C04677,aicar_h
C04677,aicar_c
C03373,air_h
C03373,air_c
C00026,akg_c
C00026,akg_e
C00026,akg_h
C00026,akg_m
C00026,akg_n
C00026,akg_p
C00026,akg_r
C00026,akg_x
C00099,ala_B_p
C00099,ala_B_c
C00099,ala_B_e
C00099,ala_B_m
C00099,ala_B_h
C00133,ala__D_p
C00133,ala__D_c
C00133,ala__D_e
C00133,ala__D_l
C00133,ala__D_x
C00041,ala__L_c
C00041,ala__L_e
C00041,ala__L_m
C00041,ala__L_l
C00041,ala__L_p
C00041,ala__L_x
C00993,alaala_p
C00993,alaala_c
C00993,alaala_e
C06010,alac__S_m
C06010,alac__S_c
C06010,alac__S_e
C06010,alac__S_h
C00886,alatrna_c
C00886,alatrna_m
C01487,all__D_p
C01487,all__D_c
C01487,all__D_e
C02962,all6p_c
C01551,alltn_p
C01551,alltn_c
C01551,alltn_e
C01551,alltn_m
C00499,alltt_m
C00499,alltt_c
C00499,alltt_e
C00817,altrn_c
C00019,amet_c
C00019,amet_e
C00019,amet_g
C00019,amet_h
C00019,amet_m
C00019,amet_n
C00019,amet_r
C01137,ametam_h
C01137,ametam_c
C01137,ametam_m
C04425,amob_c
C00020,amp_c
C00020,amp_e
C00020,amp_g
C00020,amp_h
C00020,amp_m
C00020,amp_l
C00020,amp_n
C00020,amp_p
C00020,amp_r
C00020,amp_x
C00108,anth_h
C00108,anth_c
C01260,ap4a_c
C01260,ap4a_n
C04058,ap5a_c
C03688,apoACP_h
C03688,apoACP_c
C05771,appl_c
C00224,aps_h
C00224,aps_c
C00224,aps_m
C00224,aps_n
C01112,ara5p_c
C00259,arab__L_p
C00259,arab__L_c
C00259,arab__L_e
C06187,arbt6p_c
C05554,arbtn_fe3_p
C05554,arbtn_fe3_c
C05554,arbtn_fe3_e
C00062,arg__L_p
C00062,arg__L_c
C00062,arg__L_e
C00062,arg__L_m
C00062,arg__L_v
C03406,argsuc_c
C02163,argtrna_c
C02163,argtrna_m
C16186,ascb6p_c
C00152,asn__L_c
C00152,asn__L_e
C00152,asn__L_m
C00152,asn__L_p
C00152,asn__L_v
C00152,asn__L_x
C03402,asntrna_c
C03402,asntrna_m
C06697,aso3_p
C06697,aso3_c
C06697,aso3_e
C01478;C11215,aso4_p;aso4_p
C01478;C11215,aso4_c;aso4_c
C01478;C11215,aso4_e;aso4_e
C00049,asp__L_c
C00049,asp__L_e
C00049,asp__L_h
C00049,asp__L_m
C00049,asp__L_n
C00049,asp__L_p
C00049,asp__L_v
C00049,asp__L_x
C00441,aspsa_h
C00441,aspsa_c
C02984,asptrna_c
C02984,asptrna_m
C05519,athr__L_c
C00002,atp_c
C00002,atp_e
C00002,atp_g
C00002,atp_f
C00002,atp_h
C00002,atp_m
C00002,atp_n
C00002,atp_r
C00002,atp_v
C00002,atp_x
C00877,b2coa_x
C00877,b2coa_c
C00877,b2coa_m
C20749,bbtcoa_c
C00576,betald_c
C00576,betald_m
C01412,btal_h
C01412,btal_c
C00136,btcoa_x
C00136,btcoa_c
C00136,btcoa_m
C00136,btcoa_h
C00120,btn_p
C00120,btn_c
C00120,btn_e
C00120,btn_m
C00120,btn_n
C20386,btnso_c
C00246,but_p
C00246,but_c
C00246,but_e
C00246,but_m
C04246,but2eACP_h
C04246,but2eACP_c
C05745,butACP_h
C05745,butACP_c
C00076,ca2_p
C00076,ca2_c
C00076,ca2_e
C00575,camp_c
C00575,camp_e
C00575,camp_g
C00575,camp_n
C00438,cbasp_c
C00438,cbasp_m
C00438,cbasp_n
C05774,cbi_p
C05774,cbi_c
C05774,cbi_e
C00853,cbl1_p
C00853,cbl1_c
C00853,cbl1_e
C00853,cbl1_m
C01563,cbm_c
C00169,cbp_h
C00169,cbp_c
C00169,cbp_r
C00169,cbp_m
C00169,cbp_n
C01413,cd2_p
C01413,cd2_c
C01413,cd2_e
C20248,cdg_c
C00112,cdp_c
C00112,cdp_m
C00112,cdp_n
C11588,cechddd_c
C12622,cenchddd_c
C01419,cgly_p
C01419,cgly_c
C01419,cgly_e
C00114,chol_c
C00114,chol_e
C00114,chol_g
C00114,chol_m
C00114,chol_n
C00114,chol_p
C00114,chol_r
C00251,chor_h
C00251,chor_c
C00251,chor_e
C00423;C10438,cinnm_c;cinnm_c
C00158,cit_p
C00158,cit_c
C00158,cit_e
C00158,cit_m
C00158,cit_x
C00327,citr__L_m
C00327,citr__L_c
C00327,citr__L_e
C00327,citr__L_h
C04121,ckdo_c
C00698;C01327,cl_p;cl_p
C00698;C01327,cl_c;cl_c
C00698;C01327,cl_e;cl_e
C00055,cmp_c
C00055,cmp_e
C00055,cmp_g
C00055,cmp_h
C00055,cmp_m
C00055,cmp_l
C00055,cmp_n
C00055,cmp_p
C00011,co2_c
C00011,co2_e
C00011,co2_g
C00011,co2_h
C00011,co2_m
C00011,co2_n
C00011,co2_p
C00011,co2_r
C00011,co2_v
C00011,co2_x
C00010,coa_c
C00010,coa_e
C00010,coa_g
C00010,coa_h
C00010,coa_m
C00010,coa_l
C00010,coa_n
C00010,coa_s
C00010,coa_r
C00010,coa_x
C00175;C19171,cobalt2_p;cobalt2_p
C00175;C19171,cobalt2_c;cobalt2_c
C00175;C19171,cobalt2_e;cobalt2_e
C20239,cph4_c
C18239,cpmp_c
C03263,cpppg3_h
C03263,cpppg3_c
C00318,crn_c
C00318,crn_e
C00318,crn_m
C00318,crn_p
C00318,crn_r
C00318,crn_x
C15025,crn__D_p
C15025,crn__D_c
C15025,crn__D_e
C20750,crncoa_c
C00380,csn_p
C00380,csn_c
C00380,csn_e
C20748,ctbtcoa_c
C00063,ctp_h
C00063,ctp_c
C00063,ctp_m
C00063,ctp_n
C00070,cu2_p
C00070,cu2_c
C00070,cu2_e
C00070,cu2_u
C00177;C01326,cyan_p;cyan_p
C00177;C01326,cyan_c;cyan_c
C00177;C01326,cyan_e;cyan_e
C00177;C01326,cyan_m;cyan_m
C01417,cynt_p
C01417,cynt_c
C01417,cynt_e
C00793,cys__D_p
C00793,cys__D_c
C00793,cys__D_e
C00097,cys__L_p
C00097,cys__L_c
C00097,cys__L_e
C00097,cys__L_m
C00097,cys__L_h
C02291,cyst__L_x
C02291,cyst__L_c
C02291,cyst__L_e
C02291,cyst__L_h
C03125,cystrna_c
C00475;C02961,cytd_c;cytd_c
C00475;C02961,cytd_e;cytd_e
C00475;C02961,cytd_m;cytd_m
C00475;C02961,cytd_l;cytd_l
C00475;C02961,cytd_n;cytd_n
C00475;C02961,cytd_p;cytd_p
C00559,dad_2_p
C00559,dad_2_c
C00559,dad_2_e
C00559,dad_2_l
C05198,dad_5_c
C05198,dad_5_e
C00206,dadp_h
C00206,dadp_c
C00206,dadp_m
C00206,dadp_n
C00360,damp_c
C00360,damp_e
C00360,damp_h
C00360,damp_m
C00360,damp_l
C00360,damp_p
C01037,dann_c
C01037,dann_e
C00131,datp_c
C00131,datp_m
C00131,datp_n
C15556,db4p_h
C15556,db4p_c
C05275,dc2coa_x
C05275,dc2coa_c
C05275,dc2coa_m
C01571,dca_p
C01571,dca_c
C01571,dca_h
C01571,dca_e
C01571,dca_x
C05755,dcaACP_h
C05755,dcaACP_c
C05755,dcaACP_m
C05274,dcacoa_x
C05274,dcacoa_c
C05274,dcacoa_m
C03794,dcamp_h
C03794,dcamp_c
C00705,dcdp_c
C00705,dcdp_m
C00705,dcdp_n
C00239,dcmp_c
C00239,dcmp_e
C00239,dcmp_m
C00239,dcmp_l
C00239,dcmp_n
C00239,dcmp_p
C00458,dctp_c
C00458,dctp_m
C00458,dctp_n
C00881,dcyt_c
C00881,dcyt_e
C00881,dcyt_m
C00881,dcyt_l
C00881,dcyt_n
C00881,dcyt_p
C03221,dd2coa_x
C03221,dd2coa_c
C03221,dd2coa_m
C02679,ddca_p
C02679,ddca_c
C02679,ddca_h
C02679,ddca_e
C02679,ddca_x
C05223,ddcaACP_h
C05223,ddcaACP_c
C05223,ddcaACP_m
C01832,ddcacoa_x
C01832,ddcacoa_c
C01832,ddcacoa_m
C00361,dgdp_c
C00361,dgdp_m
C00361,dgdp_n
C00362,dgmp_p
C00362,dgmp_c
C00362,dgmp_e
C00362,dgmp_m
C00362,dgmp_l
C18870,dgslnt_c
C00330,dgsn_p
C00330,dgsn_c
C00330,dgsn_e
C00330,dgsn_m
C00330,dgsn_l
C00286,dgtp_c
C00286,dgtp_m
C00286,dgtp_n
C00184,dha_p
C00184,dha_c
C00184,dha_e
C00111,dhap_x
C00111,dhap_c
C00111,dhap_f
C00111,dhap_m
C00111,dhap_h
C12623,dhcinnm_c
C00415,dhf_m
C00415,dhf_c
C00415,dhf_e
C00415,dhf_l
C15809,dhgly_c
C03657,dhna_c
C04874,dhnpt_c
C04874,dhnpt_m
C00337,dhor__S_c
C00337,dhor__S_m
C00337,dhor__S_n
C05925,dhpmp_c
C04044,dhpppn_c
C00921,dhpt_c
C00921,dhpt_m
C11838,dhptd_c
C05649,dhptdn_c
C01344,didp_c
C01344,didp_m
C01344,didp_n
C06196,dimp_p
C06196,dimp_c
C06196,dimp_e
C05512,din_p
C05512,din_c
C05512,din_e
C01345,ditp_c
C01345,ditp_m
C01345,ditp_n
C03114,dmbzid_c
C04332,dmlz_h
C04332,dmlz_c
C00235,dmpp_x
C00235,dmpp_c
C00235,dmpp_h
C00580,dms_p
C00580,dms_c
C00580,dms_e
C11143,dmso_p
C11143,dmso_c
C11143,dmso_e
C00857,dnad_h
C00857,dnad_c
C00857,dnad_m
C00857,dnad_n
C00882,dpcoa_c
C00882,dpcoa_m
C00882,dpcoa_l
C02463,dscl_h
C02463,dscl_c
C01909,dtbt_c
C00363,dtdp_c
C00363,dtdp_m
C00363,dtdp_n
C04346,dtdp4addg_c
C11907,dtdp4d6dg_c
C00688,dtdp4d6dm_c
C00842,dtdpglu_c
C03319,dtdprmn_c
C00364,dtmp_p
C00364,dtmp_c
C00364,dtmp_e
C00364,dtmp_m
C00364,dtmp_l
C00459,dttp_m
C00459,dttp_c
C00459,dttp_e
C00459,dttp_n
C01346,dudp_c
C01346,dudp_m
C01346,dudp_n
C00365,dump_p
C00365,dump_c
C00365,dump_e
C00365,dump_m
C00365,dump_n
C00526,duri_p
C00526,duri_c
C00526,duri_e
C00526,duri_m
C00526,duri_n
C00460,dutp_c
C00460,dutp_m
C00460,dutp_n
C06257,dxyl_p
C06257,dxyl_c
C06257,dxyl_e
C11437,dxyl5p_h
C11437,dxyl5p_c
C00279;C03109,e4p_h;e4p_h
C00279;C03109,e4p_c;e4p_c
C00279;C03109,e4p_m;e4p_m
C20374,egmeACP_c
C04666,eig3p_h
C04666,eig3p_c
C05821,enter_p
C05821,enter_c
C05821,enter_e
C20378,epmeACP_c
C00189,etha_p
C00189,etha_c
C00189,etha_e
C00469,etoh_c
C00469,etoh_e
C00469,etoh_h
C00469,etoh_m
C00469,etoh_p
C00469,etoh_x
C00085,f6p_p
C00085,f6p_c
C00085,f6p_e
C00016,fad_x
C00016,fad_c
C00016,fad_r
C00016,fad_m
C00016,fad_h
C01352,fadh2_x
C01352,fadh2_c
C01352,fadh2_r
C01352,fadh2_m
C01352,fadh2_h
C00067,fald_c
C00067,fald_e
C00067,fald_m
C00067,fald_l
C00067,fald_p
C00067,fald_x
C01099,fc1p_c
C01721,fcl__L_c
C00354,fdp_c
C14818,fe2_p
C14818,fe2_c
C14818,fe2_e
C14818,fe2_m
C14818,fe2_h
C14819,fe3_p
C14819,fe3_c
C14819,fe3_e
C14819,fe3_h
C06227,fe3hox_p
C06227,fe3hox_c
C06227,fe3hox_e
C06228,fecrm_p
C06228,fecrm_c
C06228,fecrm_e
C06230,feenter_p
C06230,feenter_c
C06230,feenter_e
C07597,feoxam_p
C07597,feoxam_c
C07597,feoxam_e
C04376,fgam_h
C04376,fgam_c
C04376,fgam_m
C03294,fmettrna_c
C03294,fmettrna_m
C00061,fmn_m
C00061,fmn_c
C00061,fmn_e
C01847,fmnh2_c
C00058,for_c
C00058,for_e
C00058,for_h
C00058,for_m
C00058,for_n
C00058,for_p
C00058,for_r
C00058,for_x
C00798,forcoa_c
C04640,fpram_h
C04640,fpram_c
C04734,fprica_c
C00448,frdp_x
C00448,frdp_c
C00448,frdp_r
C00448,frdp_m
C00448,frdp_h
C00095;C01496;C10906,fru_p;fru_p;fru_p
C00095;C01496;C10906,fru_c;fru_c;fru_c
C00095;C01496;C10906,fru_e;fru_e;fru_e
C16488,frulys_p
C16488,frulys_c
C16488,frulys_e
C00905,fruur_p
C00905,fruur_c
C00905,fruur_e
C01019,fuc__L_p
C01019,fuc__L_c
C01019,fuc__L_e
C01019,fuc__L_l
C00122,fum_p
C00122,fum_c
C00122,fum_e
C00122,fum_m
C00122,fum_h
C00103,g1p_p
C00103,g1p_c
C00103,g1p_e
C00103,g1p_h
C00118;C00661,g3p_h;g3p_h
C00118;C00661,g3p_c;g3p_c
C00118;C00661,g3p_m;g3p_m
C00118;C00661,g3p_f;g3p_f
C00670,g3pc_p
C00670,g3pc_c
C00670,g3pc_e
C00168,hpyr_x
C00168,hpyr_c
C00168,hpyr_m
C01233,g3pe_p
C01233,g3pe_c
C01233,g3pe_e
C03274,g3pg_p
C03274,g3pg_c
C03274,g3pg_e
C01225,g3pi_p
C01225,g3pi_c
C01225,g3pi_e
C00092,g6p_p
C00092,g6p_c
C00092,g6p_r
C00092,g6p_e
C00124,gal_c
C00124,gal_e
C00124,gal_h
C00124,gal_l
C00124,gal_n
C00124,gal_p
C00446;C03384,gal1p_p;gal1p_p
C00446;C03384,gal1p_c;gal1p_c
C00446;C03384,gal1p_e;gal1p_e
C00446;C03384,gal1p_h;gal1p_h
C00879,galct__D_p
C00879,galct__D_c
C00879,galct__D_e
C00880,galctn__D_p
C00880,galctn__D_c
C00880,galctn__D_e
C00880,galctn__D_n
C15930,galctn__L_p
C15930,galctn__L_c
C15930,galctn__L_e
C06311,galt1p_c
C03783;C06156,gam1p_c;gam1p_c
C00352,gam6p_p
C00352,gam6p_c
C00352,gam6p_e
C03838,gar_h
C03838,gar_c
C03838,gar_m
C01181,gbbtn_p
C01181,gbbtn_c
C01181,gbbtn_e
C00266,gcald_m
C00266,gcald_c
C00266,gcald_e
C00035,gdp_c
C00035,gdp_e
C00035,gdp_g
C00035,gdp_h
